Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
463,Trevelin Queen,SG,24,HOU,10,74,18.2,0.619,0.727,0.121,10.3,13.4,11.9,8.8,3.2,1.2,16.8,23.9,0.1,0.1,0.1,0.08,2.7,-0.8,1.9,0.1,queentr01
464,Neemias Queta,C,22,SAC,15,120,12.7,0.495,0.0,0.447,12.6,15.6,14.1,7.2,0.4,5.8,11.7,18.4,0.0,0.1,0.1,0.051,-4.1,-1.0,-5.1,-0.1,quetane01
465,Immanuel Quickley,PG,22,NYK,78,1802,14.6,0.543,0.547,0.278,1.8,13.1,7.4,24.5,1.5,0.2,10.9,22.2,2.5,1.8,4.2,0.113,0.2,0.0,0.2,1.0,quickim01
466,Jahmi'us Ramsey,SG,20,SAC,19,134,7.9,0.468,0.31,0.241,3.2,7.4,5.3,7.9,0.4,0.6,7.2,22.2,-0.1,0.0,-0.1,-0.047,-3.5,-3.4,-6.9,-0.2,ramseja01
467,Julius Randle,PF,27,NYK,72,2544,15.7,0.509,0.313,0.322,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,-0.3,3.4,3.1,0.059,0.4,0.2,0.5,1.6,randlju01
468,Austin Reaves,SG,23,LAL,61,1418,11.5,0.6,0.525,0.371,3.4,11.2,7.3,10.3,1.0,1.3,9.8,12.4,2.1,0.8,2.9,0.097,-1.3,-0.6,-1.9,0.0,reaveau01
469,Cam Reddish,SF,22,TOT,49,1012,12.8,0.543,0.451,0.275,2.7,8.6,5.7,7.0,2.3,1.4,11.1,22.2,0.2,0.8,1.0,0.046,-1.0,-0.3,-1.3,0.2,reddica01
469,Cam Reddish,SF,22,ATL,34,797,12.8,0.537,0.446,0.233,2.8,8.7,5.8,6.9,2.2,1.2,10.4,23.2,0.1,0.5,0.6,0.034,-0.8,-0.7,-1.5,0.1,reddica01
469,Cam Reddish,SF,22,NYK,15,215,12.9,0.575,0.477,0.492,2.5,8.2,5.3,7.1,2.8,1.8,14.1,18.8,0.1,0.3,0.4,0.092,-2.0,1.2,-0.8,0.1,reddica01
470,Davon Reed,SG,26,DEN,48,668,12.2,0.624,0.534,0.093,2.4,15.2,9.0,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3,reedda01
471,Paul Reed,C,22,PHI,38,302,21.4,0.568,0.083,0.146,16.6,17.4,17.0,8.3,5.5,4.2,8.9,16.7,0.6,0.7,1.3,0.212,-0.8,2.9,2.1,0.3,reedpa01
472,Naz Reid,C,22,MIN,77,1215,17.2,0.588,0.349,0.313,8.8,18.0,13.3,8.7,1.6,5.6,13.2,21.4,1.5,1.6,3.2,0.125,-0.5,0.5,0.0,0.6,reidna01
473,Nick Richards,C,24,CHO,50,367,15.9,0.689,0.0,0.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,0.6,0.3,1.0,0.125,-2.6,-0.2,-2.8,-0.1,richani01
474,Josh Richardson,SG,28,TOT,65,1600,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2.0,3.5,0.106,-0.6,0.7,0.1,0.9,richajo01
474,Josh Richardson,SG,28,BOS,44,1087,12.2,0.57,0.455,0.207,2.7,9.6,6.2,8.7,1.6,1.9,9.4,16.7,1.0,1.5,2.6,0.113,-1.0,1.2,0.3,0.6,richajo01
474,Josh Richardson,SG,28,SAS,21,513,14.0,0.577,0.471,0.194,3.2,9.1,6.1,13.0,2.1,1.0,11.5,19.3,0.5,0.4,1.0,0.091,0.1,-0.3,-0.2,0.2,richajo01
475,Austin Rivers,SG,29,DEN,67,1480,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8.0,1.7,0.4,12.8,12.6,0.1,1.1,1.2,0.037,-3.5,-0.3,-3.8,-0.7,riverau01
476,Duncan Robinson,SG,27,MIA,79,2043,10.6,0.573,0.86,0.084,1.4,9.8,5.6,9.3,1.0,0.7,7.4,17.7,1.9,2.0,3.9,0.092,-0.3,-0.3,-0.6,0.7,robindu01
477,Justin Robinson,PG,24,TOT,25,304,3.6,0.404,0.656,0.086,1.4,6.0,3.7,14.0,1.4,0.3,15.0,16.0,-0.5,0.2,-0.3,-0.055,-6.4,-1.3,-7.6,-0.4,robinju01
